Mar 31 18:21:40 raspberrypi seqgen2x: #012BEGIN LOG
Mar 31 18:21:40 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=129
Mar 31 18:21:40 raspberrypi seqgen2x: Time-stamp with Image Analysis thread @ sec=0, msec=130
Mar 31 18:21:40 raspberrypi seqgen2x: Difference Image Proc thread @ sec=0, msec=130
Mar 31 18:21:40 raspberrypi seqgen2x: Time-stamp Image Save to File thread @ sec=0, msec=130
Mar 31 18:21:40 raspberrypi seqgen2x: Processed Image Save to File thread @ sec=0, msec=131
Mar 31 18:21:40 raspberrypi seqgen2x: Send Time-stamped Image to Remote thread @ sec=0, msec=131
Mar 31 18:21:40 raspberrypi seqgen2x: 10 sec Tick Debug thread @ sec=0, msec=131
Mar 31 18:21:40 raspberrypi seqgen2x: Sequencer thread @ sec=0, msec=131
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.389504
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701498
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.465393
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.485604
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.465186
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.460498
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701237
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.700924
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.513521
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.478936
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.521855
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.473571
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.545138
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.799263
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701445
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701810
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.535606
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.534304
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.528730
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.521855
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701185
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701549
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.509772
Mar 31 18:21:40 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.502635
