Mar 31 18:10:45 raspberrypi seqgen: Sequencer @ sec=0, msec=283
Mar 31 18:10:45 raspberrypi seqgen: Frame Sampler thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp with Image Analysis thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Difference Image Proc thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Processed Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Send Time-stamped Image to Remote thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: 10 sec Tick Debug thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Sequencer thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: #012#011Execution Time for S1 = 17.633280
Mar 31 18:10:45 raspberrypi seqgen: #012#011Execution Time for S1 = 18.067453
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S1 = 37.866821
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S6 = 37.868015
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S4 = 37.855049
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S2 = 37.875568
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S1 = 17.590834
Mar 31 18:10:46 raspberrypi seqgen: #012#011Execution Time for S1 = 35.200264
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S4 = 75.483383
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S6 = 75.474113
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S2 = 75.546097
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S1 = 75.549065
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S5 = 115.615875
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S3 = 39.856911
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S1 = 17.600941
Mar 31 18:10:47 raspberrypi seqgen: #012#011Execution Time for S1 = 17.605940
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S4 = 75.398605
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S1 = 75.409485
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S2 = 75.419960
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S6 = 75.410011
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S1 = 35.353607
Mar 31 18:10:48 raspberrypi seqgen: #012#011Execution Time for S1 = 36.535034
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S6 = 75.482994
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S4 = 75.481895
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S1 = 75.522888
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S2 = 75.502419
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S3 = 36.604160
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S5 = 36.605045
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S1 = 17.590372
Mar 31 18:10:49 raspberrypi seqgen: #012#011Execution Time for S1 = 17.617769
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S1 = 75.404716
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S6 = 75.382790
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S2 = 75.400032
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S4 = 75.397583
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S1 = 17.583448
Mar 31 18:10:50 raspberrypi seqgen: #012#011Execution Time for S1 = 17.615896
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S6 = 75.676308
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S4 = 75.675209
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S1 = 75.703384
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S2 = 75.709427
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S3 = 36.806568
Mar 31 18:10:51 raspberrypi seqgen: #012#011Execution Time for S5 = 36.701725
